"","ag.artist_name","ag.artist_id","ag.album_type","ag.album_release_date","ag.album_release_year","ag.album_release_date_precision","ag.danceability","ag.energy","ag.energy.1","ag.key","ag.loudness","ag.mode","ag.speechiness","ag.acousticness","ag.instrumentalness","ag.liveness","ag.liveness.1","ag.valence","ag.tempo","ag.track_id","ag.duration_ms","ag.explicit","ag.is_local","ag.track_name","ag.track_number","ag.type","ag.album_name","ag.key_name","ag.mode_name","ag.key_mode"
"28","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2012-12-07",2012,"day",0.754,0.677,0.677,0,-6.555,1,0.0709,0.0943,7.39e-05,0.153,0.153,0.78,93.022,"6FPQabaldvKE5cjqRfY9Os",203973,FALSE,FALSE,"Money Make Her Smile",9,"track","Unorthodox Jukebox","C","major","C major"
"29","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2012-12-07",2012,"day",0.522,0.413,0.413,3,-5.86,1,0.0316,0.722,0,0.0854,0.0854,0.49,175.972,"7lXOqE38eCr979gp27O5wr",132640,FALSE,FALSE,"If I Knew",10,"track","Unorthodox Jukebox","D#","major","D# major"
"30","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2010-10-05",2010,"day",0.704,0.558,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.107,0.245,110.444,"2tJulUYLDKOg9XrtVkMgcJ",222091,FALSE,FALSE,"Grenade",1,"track","Doo-Wops & Hooligans","D","minor","D minor"
"31","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2010-10-05",2010,"day",0.635,0.841,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.0622,0.424,109.021,"7BqBn9nzAq8spo5e7cZ0dJ",220734,FALSE,FALSE,"Just the Way You Are",2,"track","Doo-Wops & Hooligans","F","major","F major"
"32","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2010-10-05",2010,"day",0.709,0.45,0.45,9,-8.267,0,0.0428,0.419,0,0.241,0.241,0.873,77.986,"5BmKRyAjCnvkko7Ms00YtA",243004,FALSE,FALSE,"Our First Time",3,"track","Doo-Wops & Hooligans","A","minor","A minor"
"33","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2010-10-05",2010,"day",0.658,0.762,0.762,10,-3.028,0,0.0425,0.263,0,0.127,0.127,0.823,163.864,"5MMLS3xm12D7N26xlfFApr",148448,FALSE,FALSE,"Runaway Baby",4,"track","Doo-Wops & Hooligans","A#","minor","A# minor"
"34","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2010-10-05",2010,"day",0.794,0.711,0.711,8,-5.124,0,0.0699,0.3,0,0.0955,0.0955,0.955,174.915,"1ExfPZEiahqhLyajhybFeS",189109,FALSE,FALSE,"The Lazy Song",5,"track","Doo-Wops & Hooligans","G#","minor","G# minor"
"35","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2010-10-05",2010,"day",0.621,0.82,0.82,10,-4.865,1,0.0367,0.332,0,0.104,0.104,0.452,144.905,"22PMfvdz35fFKYnJyMn077",230192,FALSE,FALSE,"Marry You",6,"track","Doo-Wops & Hooligans","A#","major","A# major"
"36","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2010-10-05",2010,"day",0.498,0.59,0.59,1,-4.721,0,0.032,0.511,0,0.107,0.107,0.0784,145.867,"161DnLWsx1i3u1JT05lzqU",217866,FALSE,FALSE,"Talking to the Moon",7,"track","Doo-Wops & Hooligans","C#","minor","C# minor"
"37","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2010-10-05",2010,"day",0.691,0.828,0.828,1,-3.909,0,0.0749,0.113,0,0.358,0.358,0.678,75.519,"4KykoaJQ5UxjCpp3lYkvTE",229383,FALSE,FALSE,"Liquor Store Blues (feat. Damian Marley)",8,"track","Doo-Wops & Hooligans","C#","minor","C# minor"
