date,occasion,top10_gross,top10_wow_change,num_releases,top_release,week_no,year,month_week,weekend
Apr 19-22,Easter wknd,"$106,099,675",-,74,The Curse of La Llorona,16,2019,Apr_w3,2019_Apr_w3
Apr 12-14,,"$100,437,182",-27.2%,119,Shazam!,15,2019,Apr_w2,2019_Apr_w2
Apr 5-7,,"$137,908,217",+6.5%,117,Shazam!,14,2019,Apr_w1,2019_Apr_w1
Mar 29-31,,"$129,484,146",-7%,120,Dumbo,13,2019,Mar_w5,2019_Mar_w5
Mar 22-24,,"$139,284,316",+10.2%,117,Us,12,2019,Mar_w4,2019_Mar_w4
Mar 15-17,,"$126,418,468",-36.2%,122,Captain Marvel,11,2019,Mar_w3,2019_Mar_w3
Mar 8-10,,"$198,063,125",+109.9%,107,Captain Marvel,10,2019,Mar_w2,2019_Mar_w2
Mar 1-3,,"$94,364,496",-14.7%,115,How to Train Your Dragon: The Hidden World,9,2019,Mar_w1,2019_Mar_w1
Feb 22-24,,"$110,669,509",+5.2%,88,How to Train Your Dragon: The Hidden World,8,2019,Feb_w4,2019_Feb_w4
Feb 15-18,Presidents' Day wknd,"$126,415,385",-,86,Alita: Battle Angel,7,2019,Feb_w3,2019_Feb_w3
Feb 15-17,,"$105,197,571",+10.7%,102,Alita: Battle Angel,7,2019,Feb_w3,2019_Feb_w3
Feb 8-10,,"$95,027,517",+82.4%,93,The Lego Movie 2: The Second Part,6,2019,Feb_w2,2019_Feb_w2
Feb 1-3,,"$52,087,190",-29.4%,85,Glass,5,2019,Feb_w1,2019_Feb_w1
Jan 25-27,,"$73,819,238",-32.6%,82,Glass,4,2019,Jan_w4,2019_Jan_w4
Jan 18-21,MLK wknd,"$134,433,589",-,69,Glass,3,2019,Jan_w3,2019_Jan_w3
Jan 18-20,,"$109,523,159",+13.2%,78,Glass,3,2019,Jan_w3,2019_Jan_w3
Jan 11-13,,"$96,775,974",-18.7%,86,The Upside,2,2019,Jan_w2,2019_Jan_w2
Jan 4-6,,"$119,007,739",-28.2%,89,Aquaman,1,2019,Jan_w1,2019_Jan_w1
Dec 28-30,,"$165,718,403",+1.5%,78,Aquaman,52,2018,Dec_w4,2018_Dec_w4
"Dec 28-Jan 1, 2019",New Year's long wknd,"$254,547,234",-,53,Aquaman,52,2018,Dec_w4,2018_Dec_w4
Dec 21-25,Christmas long wknd,"$260,363,074",-,60,Aquaman,51,2018,Dec_w3,2018_Dec_w3
Dec 21-23,,"$163,297,800",+60.7%,76,Aquaman,51,2018,Dec_w3,2018_Dec_w3
Dec 14-16,,"$101,640,559",+37.6%,100,Spider-Man: Into the Spider-Verse,50,2018,Dec_w2,2018_Dec_w2
Dec 7-9,,"$73,877,715",-30.4%,100,Ralph Breaks the Internet,49,2018,Dec_w1,2018_Dec_w1
Nov 30-Dec 2,Post-Thanksgiving,"$106,190,738",-47.9%,104,Ralph Breaks the Internet,48,2018,Nov_w4,2018_Nov_w4
Nov 23-25,Thanksgiving 3-Day,"$203,836,618",+26.3%,99,Ralph Breaks the Internet,47,2018,Nov_w3,2018_Nov_w3
Nov 22-25,Thanksgiving 4-Day,"$243,903,928",-,64,Ralph Breaks the Internet,47,2018,Nov_w3,2018_Nov_w3
Nov 21-25,Thanksgiving 5-Day,"$298,630,062",-,64,Ralph Breaks the Internet,47,2018,Nov_w3,2018_Nov_w3
Nov 16-18,,"$161,437,498",+5.8%,107,Fantastic Beasts: The Crimes of Grindelwald,46,2018,Nov_w2,2018_Nov_w2
Nov 9-11,,"$152,580,543",+17.9%,113,The Grinch,45,2018,Nov_w1,2018_Nov_w1
Nov 2-4,,"$129,384,786",+42.2%,119,Bohemian Rhapsody,44,2018,Oct_w5,2018_Oct_w5
Oct 26-28,,"$90,992,092",-41.7%,119,Halloween,43,2018,Oct_w4,2018_Oct_w4
Oct 19-21,,"$155,990,869",+23.7%,111,Halloween,42,2018,Oct_w3,2018_Oct_w3
Oct 12-14,,"$126,136,778",-25.4%,126,Venom,41,2018,Oct_w2,2018_Oct_w2
Oct 5-7,,"$168,979,851",+83.4%,122,Venom,40,2018,Oct_w1,2018_Oct_w1
Oct 5-8,Indig. Peoples' Day wknd,"$193,103,101",-,73,Venom,40,2018,Oct_w1,2018_Oct_w1
Sep 28-30,,"$92,141,186",+17.7%,130,Night School,39,2018,Sep_w4,2018_Sep_w4
Sep 21-23,,"$78,315,568",-16.7%,124,The House with a Clock in Its Walls,38,2018,Sep_w3,2018_Sep_w3
Sep 14-16,,"$94,001,600",-11.6%,130,The Predator,37,2018,Sep_w2,2018_Sep_w2
Sep 7-9,,"$106,333,196",+44.1%,112,The Nun,36,2018,Sep_w1,2018_Sep_w1
Aug 31-Sep 3,Labor Day wknd,"$96,296,736",-,95,Crazy Rich Asians,35,2018,Aug_w5,2018_Aug_w5
Aug 31-Sep 2,,"$73,798,836",-12.7%,108,Crazy Rich Asians,35,2018,Aug_w5,2018_Aug_w5
Aug 24-26,,"$84,558,009",-23.6%,113,Crazy Rich Asians,34,2018,Aug_w4,2018_Aug_w4
Aug 17-19,,"$110,718,157",-12.8%,114,Crazy Rich Asians,33,2018,Aug_w3,2018_Aug_w3
Aug 10-12,,"$126,978,553",+6%,100,The Meg,32,2018,Aug_w2,2018_Aug_w2
Aug 3-5,,"$119,739,621",-16.5%,108,Mission: Impossible - Fallout,31,2018,Aug_w1,2018_Aug_w1
Jul 27-29,,"$143,331,278",-8.9%,111,Mission: Impossible - Fallout,30,2018,Jul_w4,2018_Jul_w4
Jul 20-22,,"$157,376,958",+2.2%,101,The Equalizer 2,29,2018,Jul_w3,2018_Jul_w3
Jul 13-15,World Cup (Russia),"$154,037,869",-12.9%,102,Hotel Transylvania 3: Summer Vacation,28,2018,Jul_w2,2018_Jul_w2
Jul 6-8,World Cup (Russia),"$176,800,250",+5.7%,102,Ant-Man and the Wasp,27,2018,Jul_w1,2018_Jul_w1
Jun 29-Jul 1,World Cup (Russia),"$167,201,140",-37.9%,108,Jurassic World: Fallen Kingdom,26,2018,Jun_w5,2018_Jun_w5
Jun 22-24,World Cup (Russia),"$269,388,336",+4.2%,103,Jurassic World: Fallen Kingdom,25,2018,Jun_w4,2018_Jun_w4
Jun 15-17,World Cup (Russia),"$258,481,930",+135.7%,104,Incredibles 2,24,2018,Jun_w3,2018_Jun_w3
Jun 8-10,,"$109,660,193",+13%,112,Ocean's Eight,23,2018,Jun_w2,2018_Jun_w2
Jun 1-3,,"$97,051,566",-44.6%,115,Solo: A Star Wars Story,22,2018,Jun_w1,2018_Jun_w1
May 25-28,Memorial Day wknd,"$218,126,709",-,108,Solo: A Star Wars Story,21,2018,May_w4,2018_May_w4
May 25-27,,"$175,038,242",-12.7%,117,Solo: A Star Wars Story,21,2018,May_w4,2018_May_w4
May 18-20,,"$200,438,167",+58.2%,122,Deadpool 2,20,2018,May_w3,2018_May_w3
May 11-13,,"$126,696,435",-20.3%,122,Avengers: Infinity War,19,2018,May_w2,2018_May_w2
May 4-6,,"$158,985,116",-47.5%,115,Avengers: Infinity War,18,2018,May_w1,2018_May_w1
Apr 27-29,,"$303,012,371",+184.2%,125,Avengers: Infinity War,17,2018,Apr_w4,2018_Apr_w4
Apr 20-22,,"$106,600,851",-19.1%,121,A Quiet Place,16,2018,Apr_w3,2018_Apr_w3
Apr 13-15,,"$131,792,250",-6.4%,117,Rampage,15,2018,Apr_w2,2018_Apr_w2
Apr 6-8,,"$140,865,614",+22.2%,116,A Quiet Place,14,2018,Apr_w1,2018_Apr_w1
Mar 30-Apr 1,,"$115,250,516",+6.1%,112,Ready Player One,13,2018,Mar_w5,2018_Mar_w5
Mar 30-Apr 2,Easter wknd,"$130,872,272",-,59,Ready Player One,13,2018,Mar_w5,2018_Mar_w5
Mar 23-25,,"$108,669,222",-8.5%,114,Pacific Rim: Uprising,12,2018,Mar_w4,2018_Mar_w4
Mar 16-18,,"$118,810,762",-3.5%,114,Black Panther,11,2018,Mar_w3,2018_Mar_w3
Mar 9-11,,"$123,134,923",-8.3%,112,Black Panther,10,2018,Mar_w2,2018_Mar_w2
Mar 2-4,,"$134,280,505",-24.2%,115,Black Panther,9,2018,Mar_w1,2018_Mar_w1
Feb 23-25,PyeongChang Olympics,"$177,068,935",-33.8%,110,Black Panther,8,2018,Feb_w4,2018_Feb_w4
Feb 16-19,Presidents' Day wkndPyeongChang Olympics,"$323,004,490",-,91,Black Panther,7,2018,Feb_w3,2018_Feb_w3
Feb 16-18,PyeongChang Olympics,"$267,360,455",+134.9%,102,Black Panther,7,2018,Feb_w3,2018_Feb_w3
Feb 9-11,PyeongChang Olympics,"$113,834,248",+73.2%,105,Fifty Shades Freed,6,2018,Feb_w2,2018_Feb_w2
Feb 2-4,,"$65,718,354",-35.9%,102,Jumanji: Welcome to the Jungle,5,2018,Feb_w1,2018_Feb_w1
Jan 26-28,,"$102,483,376",-1.6%,104,Maze Runner: The Death Cure,4,2018,Jan_w4,2018_Jan_w4
Jan 19-21,,"$104,176,178",-19.4%,103,Jumanji: Welcome to the Jungle,3,2018,Jan_w3,2018_Jan_w3
Jan 12-14,,"$129,325,213",-10.3%,95,Jumanji: Welcome to the Jungle,2,2018,Jan_w2,2018_Jan_w2
Jan 12-15,MLK wknd,"$158,634,790",-,76,Jumanji: Welcome to the Jungle,2,2018,Jan_w2,2018_Jan_w2
Jan 5-7,,"$144,171,701",-16.8%,89,Jumanji: Welcome to the Jungle,1,2018,Jan_w1,2018_Jan_w1
Dec 25-27,,"$273,024,546",-9.8%,72,Star Wars: Episode VII - The Force Awakens,52,2015,Dec_w4,2015_Dec_w4
Dec 18-20,,"$302,697,164",+353.8%,86,Star Wars: Episode VII - The Force Awakens,51,2015,Dec_w3,2015_Dec_w3
Dec 11-13,,"$66,695,452",-23.1%,92,The Hunger Games: Mockingjay - Part 2,50,2015,Dec_w2,2015_Dec_w2
Dec 4-6,Post-Thanksgiving,"$86,761,557",-48.3%,95,The Hunger Games: Mockingjay - Part 2,49,2015,Dec_w1,2015_Dec_w1
Nov 27-29,Thanksgiving 3-Day,"$167,805,985",+2.8%,86,The Hunger Games: Mockingjay - Part 2,48,2015,Nov_w4,2015_Nov_w4
Nov 26-29,Thanksgiving 4-Day,"$199,324,369",-,48,The Hunger Games: Mockingjay - Part 2,48,2015,Nov_w4,2015_Nov_w4
Nov 25-29,Thanksgiving 5-Day,"$238,078,648",-,48,The Hunger Games: Mockingjay - Part 2,48,2015,Nov_w4,2015_Nov_w4
Nov 20-22,,"$163,255,301",+74.4%,110,The Hunger Games: Mockingjay - Part 2,47,2015,Nov_w3,2015_Nov_w3
Nov 13-15,,"$93,635,619",-37.1%,112,Spectre,46,2015,Nov_w2,2015_Nov_w2
Nov 6-8,,"$148,792,362",+154.6%,112,Spectre,45,2015,Nov_w1,2015_Nov_w1
Oct 30-Nov 1,,"$58,434,174",-34.9%,108,The Martian,44,2015,Oct_w5,2015_Oct_w5
Oct 23-25,,"$89,803,867",-17.5%,110,The Martian,43,2015,Oct_w4,2015_Oct_w4
Oct 16-18,,"$108,805,935",+1.9%,108,Goosebumps,42,2015,Oct_w3,2015_Oct_w3
Oct 9-12,Indig. Peoples' Day wknd,"$122,246,820",-,51,The Martian,41,2015,Oct_w2,2015_Oct_w2
Oct 9-11,,"$106,804,689",-23.6%,112,The Martian,41,2015,Oct_w2,2015_Oct_w2
Oct 2-4,,"$139,834,346",+11.3%,123,The Martian,40,2015,Oct_w1,2015_Oct_w1
Sep 25-27,,"$125,667,878",+30.7%,118,Hotel Transylvania 2,39,2015,Sep_w4,2015_Sep_w4
Sep 18-20,,"$96,138,932",+17.8%,114,Maze Runner: The Scorch Trials,38,2015,Sep_w3,2015_Sep_w3
Sep 11-13,,"$81,621,359",+36%,110,The Perfect Guy,37,2015,Sep_w2,2015_Sep_w2
Sep 4-7,Labor Day wknd,"$78,105,044",-,85,War Room,36,2015,Sep_w1,2015_Sep_w1
Sep 4-6,,"$60,032,495",-5%,95,War Room,36,2015,Sep_w1,2015_Sep_w1
Aug 28-30,,"$63,160,916",-26%,96,Straight Outta Compton,35,2015,Aug_w5,2015_Aug_w5
Aug 21-23,,"$85,356,247",-34.2%,94,Straight Outta Compton,34,2015,Aug_w4,2015_Aug_w4
Aug 14-16,,"$129,704,209",+14.5%,98,Straight Outta Compton,33,2015,Aug_w3,2015_Aug_w3
Aug 7-9,,"$113,252,833",-16.8%,94,Mission: Impossible - Rogue Nation,32,2015,Aug_w2,2015_Aug_w2
Jul 31-Aug 2,,"$136,167,805",-1.5%,95,Mission: Impossible - Rogue Nation,31,2015,Aug_w1,2015_Aug_w1
Jul 24-26,,"$138,254,037",-22.5%,100,Ant-Man,30,2015,Jul_w4,2015_Jul_w4
Jul 17-19,,"$178,494,977",-12%,100,Ant-Man,29,2015,Jul_w3,2015_Jul_w3
Jul 10-12,,"$202,943,834",+59.8%,103,Minions,28,2015,Jul_w2,2015_Jul_w2
Jul 3-5,,"$127,004,488",-27%,88,Inside Out,27,2015,Jul_w1,2015_Jul_w1
Jun 26-28,,"$174,073,731",-27.1%,101,Jurassic World,26,2015,Jun_w5,2015_Jun_w5
Jun 19-21,,"$238,740,396",-10.3%,90,Jurassic World,25,2015,Jun_w4,2015_Jun_w4
Jun 12-14,,"$266,035,144",+116.7%,88,Jurassic World,24,2015,Jun_w3,2015_Jun_w3
Jun 5-7,,"$122,790,825",-6.4%,89,Spy,23,2015,Jun_w2,2015_Jun_w2
May 29-31,,"$131,136,807",-9.3%,83,San Andreas,22,2015,Jun_w1,2015_Jun_w1
May 22-25,Memorial Day wknd,"$182,887,788",-,81,Tomorrowland,21,2015,May_w4,2015_May_w4
May 22-24,,"$144,619,728",-17.6%,92,Tomorrowland,21,2015,May_w4,2015_May_w4
May 15-17,,"$175,540,242",+46.7%,93,Pitch Perfect 2,20,2015,May_w3,2015_May_w3
May 8-10,,"$119,640,318",-46.6%,97,Avengers: Age of Ultron,19,2015,May_w2,2015_May_w2
May 1-3,Mayweather/Pacquiao Fight,"$223,967,813",+179.5%,102,Avengers: Age of Ultron,18,2015,May_w1,2015_May_w1
Apr 24-26,,"$80,145,066",-26.2%,117,Furious 7,17,2015,Apr_w4,2015_Apr_w4
Apr 17-19,,"$108,634,824",-12%,111,Furious 7,16,2015,Apr_w3,2015_Apr_w3
Apr 10-12,,"$123,487,605",-43%,103,Furious 7,15,2015,Apr_w2,2015_Apr_w2
Apr 3-5,,"$216,669,859",+54.9%,96,Furious 7,14,2015,Apr_w1,2015_Apr_w1
Apr 3-6,Easter wknd,"$240,859,409",-,45,Furious 7,14,2015,Apr_w1,2015_Apr_w1
Mar 27-29,,"$139,905,374",+19.2%,98,Home,13,2015,Mar_w5,2015_Mar_w5
Mar 20-22,,"$117,323,618",+1.5%,97,The Divergent Series: Insurgent,12,2015,Mar_w4,2015_Mar_w4
Mar 13-15,,"$115,580,190",+60%,94,Cinderella,11,2015,Mar_w3,2015_Mar_w3
Mar 6-8,,"$72,251,925",-19.2%,94,Chappie,10,2015,Mar_w2,2015_Mar_w2
Feb 27-Mar 1,,"$89,378,196",-13.9%,98,Focus,9,2015,Mar_w1,2015_Mar_w1
Feb 20-22,,"$103,802,091",-47.1%,90,Fifty Shades of Grey,8,2015,Feb_w4,2015_Feb_w4
Feb 13-16,Presidents' Day wknd,"$226,114,046",-,75,Fifty Shades of Grey,7,2015,Feb_w3,2015_Feb_w3
Feb 13-15,,"$196,187,392",+47.8%,88,Fifty Shades of Grey,7,2015,Feb_w3,2015_Feb_w3
Feb 6-8,,"$132,753,774",+65.8%,95,The SpongeBob Movie: Sponge Out of Water,6,2015,Feb_w2,2015_Feb_w2
Jan 30-Feb 1,,"$80,089,127",-41.3%,95,American Sniper,5,2015,Feb_w1,2015_Feb_w1
Jan 23-25,,"$136,480,820",-23.7%,93,American Sniper,4,2015,Jan_w4,2015_Jan_w4
Jan 16-19,MLK wknd,"$220,660,699",-,71,American Sniper,3,2015,Jan_w3,2015_Jan_w3
Jan 16-18,,"$178,963,570",+70.9%,87,American Sniper,3,2015,Jan_w3,2015_Jan_w3
Jan 9-11,,"$104,708,370",-16.8%,87,Taken 3,2,2015,Jan_w2,2015_Jan_w2
Jan 2-4,,"$125,851,864",-29.5%,89,The Hobbit: The Battle of the Five Armies,1,2015,Jan_w1,2015_Jan_w1
"Dec 28-Jan 1, 2002",New Year's long wknd,"$204,129,883",-,38,The Lord of the Rings: The Fellowship of the Ring,52,2001,Dec_w4,2001_Dec_w4
Dec 28-30,,"$136,876,018",+14.5%,62,The Lord of the Rings: The Fellowship of the Ring,52,2001,Dec_w4,2001_Dec_w4
Dec 21-23,,"$119,543,145",+37.7%,61,The Lord of the Rings: The Fellowship of the Ring,51,2001,Dec_w3,2001_Dec_w3
Dec 21-25,Christmas long wknd,"$173,502,067",-,33,The Lord of the Rings: The Fellowship of the Ring,51,2001,Dec_w3,2001_Dec_w3
Dec 14-16,,"$86,788,851",+7.1%,63,Vanilla Sky,50,2001,Dec_w2,2001_Dec_w2
Dec 7-9,,"$81,015,513",+1.6%,61,Ocean's Eleven,49,2001,Dec_w1,2001_Dec_w1
Nov 30-Dec 2,Post-Thanksgiving,"$79,717,385",-42.5%,63,Harry Potter and the Sorcerer's Stone,48,2001,Nov_w4,2001_Nov_w4
Nov 23-25,Thanksgiving 3-Day,"$138,700,810",-7.6%,61,Harry Potter and the Sorcerer's Stone,47,2001,Nov_w3,2001_Nov_w3
Nov 22-25,Thanksgiving 4-Day,"$159,509,399",-,14,Harry Potter and the Sorcerer's Stone,47,2001,Nov_w3,2001_Nov_w3
Nov 21-25,Thanksgiving 5-Day,"$185,370,002",-,14,Harry Potter and the Sorcerer's Stone,47,2001,Nov_w3,2001_Nov_w3
Nov 16-18,,"$150,075,625",+33.5%,62,Harry Potter and the Sorcerer's Stone,46,2001,Nov_w2,2001_Nov_w2
Nov 9-11,,"$112,416,838",-13.2%,63,"Monsters, Inc.",45,2001,Nov_w1,2001_Nov_w1
Nov 2-4,,"$129,494,878",+90.8%,63,"Monsters, Inc.",44,2001,Oct_w5,2001_Oct_w5
Oct 26-28,,"$67,855,902",+0.6%,69,K-PAX,43,2001,Oct_w4,2001_Oct_w4
Oct 19-21,,"$67,433,022",-8.4%,64,From Hell,42,2001,Oct_w3,2001_Oct_w3
Oct 12-14,,"$73,642,569",-9.1%,64,Training Day,41,2001,Oct_w2,2001_Oct_w2
Oct 5-7,,"$81,033,528",+32.3%,65,Training Day,40,2001,Oct_w1,2001_Oct_w1
Oct 5-8,Indig. Peoples' Day wknd,"$2,646,893",-,10,American Pie 2,40,2001,Oct_w1,2001_Oct_w1
Sep 28-30,,"$61,239,377",+56.4%,62,Don't Say a Word,39,2001,Sep_w4,2001_Sep_w4
Sep 21-23,,"$39,168,070",-18.8%,63,Hardball,38,2001,Sep_w3,2001_Sep_w3
Sep 14-16,,"$48,256,060",-15.7%,62,Hardball,37,2001,Sep_w2,2001_Sep_w2
Sep 7-9,,"$57,243,510",-18.8%,61,The Musketeer,36,2001,Sep_w1,2001_Sep_w1
Aug 31-Sep 2,,"$70,470,375",-8.3%,19,Jeepers Creepers,35,2001,Aug_w5,2001_Aug_w5
Aug 31-Sep 3,Labor Day wknd,"$87,742,692",-,64,Jeepers Creepers,35,2001,Aug_w5,2001_Aug_w5
Aug 24-26,,"$76,812,343",-22%,61,American Pie 2,34,2001,Aug_w4,2001_Aug_w4
Aug 17-19,,"$98,535,024",-31.5%,61,American Pie 2,33,2001,Aug_w3,2001_Aug_w3
Aug 10-12,,"$143,895,822",-9.9%,63,American Pie 2,32,2001,Aug_w2,2001_Aug_w2
Aug 3-5,,"$159,718,832",+13.8%,63,Rush Hour 2,31,2001,Aug_w1,2001_Aug_w1
Jul 27-29,,"$140,388,522",+7.6%,62,Planet of the Apes,30,2001,Jul_w4,2001_Jul_w4
Jul 20-22,,"$130,460,690",+26.6%,61,Jurassic Park III,29,2001,Jul_w3,2001_Jul_w3
Jul 13-15,,"$103,073,616",-10.3%,62,Legally Blonde,28,2001,Jul_w2,2001_Jul_w2
Jul 6-8,,"$114,917,024",+1%,63,Cats & Dogs,27,2001,Jul_w1,2001_Jul_w1
Jun 29-Jul 1,,"$113,812,114",-14.1%,61,A.I. Artificial Intelligence,26,2001,Jun_w5,2001_Jun_w5
Jun 22-24,,"$132,493,383",+4.3%,62,The Fast and the Furious,25,2001,Jun_w4,2001_Jun_w4
Jun 15-17,,"$127,001,747",+36.4%,63,Lara Croft: Tomb Raider,24,2001,Jun_w3,2001_Jun_w3
Jun 8-10,,"$93,076,000",-22.6%,61,Swordfish,23,2001,Jun_w2,2001_Jun_w2
Jun 1-3,,"$120,274,270",-12.5%,61,Pearl Harbor,22,2001,Jun_w1,2001_Jun_w1
May 25-27,,"$137,422,090",+45.7%,21,Pearl Harbor,21,2001,May_w4,2001_May_w4
May 25-28,Memorial Day wknd,"$175,566,618",-,23,Pearl Harbor,21,2001,May_w4,2001_May_w4
May 18-20,,"$94,294,422",+35.6%,63,Shrek,20,2001,May_w3,2001_May_w3
May 11-13,,"$69,550,714",-28.5%,65,The Mummy Returns,19,2001,May_w2,2001_May_w2
May 4-6,,"$97,218,110",+92.9%,66,The Mummy Returns,18,2001,May_w1,2001_May_w1
Apr 27-29,,"$50,386,961",-21.5%,64,Driven,17,2001,Apr_w4,2001_Apr_w4
Apr 20-22,,"$64,219,275",-9.4%,65,Bridget Jones's Diary,16,2001,Apr_w3,2001_Apr_w3
Apr 13-15,,"$70,892,715",-7.7%,63,Spy Kids,15,2001,Apr_w2,2001_Apr_w2
Apr 13-16,Easter wknd,"$24,270,151",-,20,Kingdom Come,15,2001,Apr_w2,2001_Apr_w2
Apr 6-8,,"$76,825,254",-1.8%,62,Spy Kids,14,2001,Apr_w1,2001_Apr_w1
Mar 30-Apr 1,,"$78,251,050",+24.1%,62,Spy Kids,13,2001,Mar_w5,2001_Mar_w5
Mar 23-25,,"$63,033,676",-7.4%,62,Heartbreakers,12,2001,Mar_w4,2001_Mar_w4
Mar 16-18,,"$68,073,729",+14.8%,61,Exit Wounds,11,2001,Mar_w3,2001_Mar_w3
Mar 9-11,,"$59,297,702",-16%,64,The Mexican,10,2001,Mar_w2,2001_Mar_w2
Mar 2-4,,"$70,619,092",+1.2%,63,The Mexican,9,2001,Mar_w1,2001_Mar_w1
Feb 23-25,,"$69,754,742",-15.5%,61,Hannibal,8,2001,Feb_w4,2001_Feb_w4
Feb 16-18,,"$82,556,340",-19.8%,11,Hannibal,7,2001,Feb_w3,2001_Feb_w3
Feb 16-19,Presidents' Day wknd,"$118,551,963",-,60,Hannibal,7,2001,Feb_w3,2001_Feb_w3
Feb 9-11,,"$102,923,335",+58.2%,63,Hannibal,6,2001,Feb_w2,2001_Feb_w2
Feb 2-4,,"$65,065,730",-2.7%,61,The Wedding Planner,5,2001,Feb_w1,2001_Feb_w1
Jan 26-28,,"$66,851,732",-17.2%,64,The Wedding Planner,4,2001,Jan_w4,2001_Jan_w4
Jan 19-21,,"$80,780,055",+1.8%,64,Save the Last Dance,3,2001,Jan_w3,2001_Jan_w3
Jan 12-14,,"$79,336,430",-20.2%,13,Save the Last Dance,2,2001,Jan_w2,2001_Jan_w2
Jan 12-15,MLK wknd,"$134,476,419",-,64,Save the Last Dance,2,2001,Jan_w2,2001_Jan_w2
Jan 5-7,,"$99,460,710",-11.4%,63,Cast Away,1,2001,Jan_w1,2001_Jan_w1
"Dec 29-Jan 1, 2001",New Year's long wknd,"$152,276,541",-,62,Cast Away,52,2000,Dec_w4,2000_Dec_w4
Dec 29-31,,"$112,260,049",+21.4%,21,Cast Away,52,2000,Dec_w4,2000_Dec_w4
Dec 22-24,,"$92,504,427",-3.9%,16,Cast Away,51,2000,Dec_w3,2000_Dec_w3
Dec 22-25,Christmas long wknd,"$138,380,803",-,61,Cast Away,51,2000,Dec_w3,2000_Dec_w3
Dec 15-17,,"$96,241,758",+24.1%,59,What Women Want,50,2000,Dec_w2,2000_Dec_w2
Dec 8-10,,"$77,568,179",-3.1%,61,How the Grinch Stole Christmas,49,2000,Dec_w1,2000_Dec_w1
Dec 1-3,Post-Thanksgiving,"$80,009,485",-51%,60,How the Grinch Stole Christmas,48,2000,Nov_w4,2000_Nov_w4
Nov 24-26,Thanksgiving 3-Day,"$163,233,836",+13.9%,63,How the Grinch Stole Christmas,47,2000,Nov_w3,2000_Nov_w3
Nov 23-26,Thanksgiving 4-Day,"$162,812,121",-,12,How the Grinch Stole Christmas,47,2000,Nov_w3,2000_Nov_w3
Nov 22-26,Thanksgiving 5-Day,"$185,156,440",-,12,How the Grinch Stole Christmas,47,2000,Nov_w3,2000_Nov_w3
Nov 17-19,,"$143,270,337",+54.5%,61,How the Grinch Stole Christmas,46,2000,Nov_w2,2000_Nov_w2
Nov 10-12,,"$92,712,524",+0.4%,62,Charlie's Angels,45,2000,Nov_w1,2000_Nov_w1
Nov 3-5,,"$92,320,475",+36%,69,Charlie's Angels,44,2000,Oct_w5,2000_Oct_w5
Oct 27-29,,"$67,898,055",+0.8%,74,Meet the Parents,43,2000,Oct_w4,2000_Oct_w4
Oct 20-22,,"$67,346,403",-4.4%,65,Meet the Parents,42,2000,Oct_w3,2000_Oct_w3
Oct 13-15,,"$70,466,230",-4.8%,65,Meet the Parents,41,2000,Oct_w2,2000_Oct_w2
Oct 6-8,,"$74,008,718",+47.3%,64,Meet the Parents,40,2000,Oct_w1,2000_Oct_w1
Oct 6-9,Indig. Peoples' Day wknd,"$61,203,642",-,10,Meet the Parents,40,2000,Oct_w1,2000_Oct_w1
Sep 29-Oct 1,Sydney Olympics,"$50,235,733",+12.8%,65,Remember the Titans,39,2000,Sep_w4,2000_Sep_w4
Sep 22-24,Sydney Olympics,"$44,541,332",+28.1%,71,Urban Legends: Final Cut,38,2000,Sep_w3,2000_Sep_w3
Sep 15-17,Sydney Olympics,"$34,760,709",-16.6%,71,The Watcher,37,2000,Sep_w2,2000_Sep_w2
Sep 8-10,,"$41,681,570",-6.8%,67,The Watcher,36,2000,Sep_w1,2000_Sep_w1
Sep 1-3,,"$44,741,276",-35.6%,17,Bring It On,35,2000,Aug_w5,2000_Aug_w5
Sep 1-4,Labor Day wknd,"$69,478,205",-,64,Bring It On,35,2000,Aug_w5,2000_Aug_w5
Aug 25-27,,"$69,438,933",-12.9%,70,Bring It On,34,2000,Aug_w4,2000_Aug_w4
Aug 18-20,,"$79,747,611",-13.5%,66,The Cell,33,2000,Aug_w3,2000_Aug_w3
Aug 11-13,,"$92,196,014",-19.2%,73,Hollow Man,32,2000,Aug_w2,2000_Aug_w2
Aug 4-6,,"$114,097,294",-2.8%,69,Hollow Man,31,2000,Aug_w1,2000_Aug_w1
Jul 28-30,,"$117,342,589",-5.5%,71,Nutty Professor II: The Klumps,30,2000,Jul_w4,2000_Jul_w4
Jul 21-23,,"$124,114,586",-11.5%,70,What Lies Beneath,29,2000,Jul_w3,2000_Jul_w3
Jul 14-16,,"$140,259,924",+6.5%,79,X-Men,28,2000,Jul_w2,2000_Jul_w2
Jul 7-9,,"$131,658,470",+7.5%,74,Scary Movie,27,2000,Jul_w1,2000_Jul_w1
Jun 30-Jul 2,,"$122,460,933",+30.2%,68,The Perfect Storm,26,2000,Jun_w5,2000_Jun_w5
Jun 30-Jul 4,July 4th long wknd,"$157,254,073",-,14,The Perfect Storm,26,2000,Jun_w5,2000_Jun_w5
Jun 23-25,,"$94,088,127",<0.1%,60,"Me, Myself & Irene",25,2000,Jun_w4,2000_Jun_w4
Jun 16-18,,"$94,155,016",+4.1%,60,Shaft,24,2000,Jun_w3,2000_Jun_w3
Jun 9-11,,"$90,433,502",-4.9%,65,Gone in 60 Seconds,23,2000,Jun_w2,2000_Jun_w2
